African Alleluia,Jay Althouse,,Alfred,SSA,Piano,Contemporary,English,,Rejoice,,,8,8,,http://www.jwpepper.com/African-Alleluia/10029884.item#.VWc3vCdUiSo,http://cdn.jwpepper.com/covers/10029884.jpg,NY
African Celebration (SATB),Traditional,Stephen Hatfield,Boosey & Hawkes,SATB,,Folksong,"English, Zulu",,African-American,,,1,1,,http://www.jwpepper.com/3180742.item#.VWc31SdUiSo,,NY
African Celebration (SSAA),Traditional,Stephen Hatfield,Boosey & Hawkes,SSAA (4-part treble),A,Folksong,"English, Zulu",,African-American,,,1,1,,http://www.jwpepper.com/1874254.item#.VWc34SdUiSo,http://cdn.jwpepper.com/covers/1874254.gif,NY
African Noel,Traditional,"Johnson, Victor C.",Traditional,2-part,,Carol,English,,Christmas,,,30,30,,http://www.jwpepper.com/8045312.item#.VWc4ACdUiSo,http://cdn.jwpepper.com/covers/8045312.jpg,NY
"African Wish, An",Jerry Estes,,Shawnee,"Unison, SA",Piano,Contemporary,English/Swahili,,Peace,,,7,6,Octavo,http://www.jwpepper.com/10009270.item#.VWc4eidUiSo,http://cdn.jwpepper.com/covers/10009270.gif,NY
Agnus Dei,Aurelia Scogin,,Galleria,SSAA,A,Religious,Latin,,Latin,,,1,1,,http://www.jwpepper.com/1498088.item#.VWc4nSdUiSo,,NY
Agnus Dei/Lord Have Mercy,Wolfgang Amadeus Mozart`,Gerald R. Mack,Carl Fischer,SATB,Piano,Classical,Latin,,Mass,,,1,1,,,,NY
Ah How exceeding tender a reprieve,Johannes Herbst,Karl Kroeger,Boosey & Hawkes,SATB,Piano,Religious,English/German,,Community,,,1,1,,,,NY
Ahrirang,Brad Printz,Brad Printz,Heritage,,,,English,,,,,4,4,,http://www.jwpepper.com/Ahrirang/3254109.item#.VWc5DidUiSo,,NY
Ahrirang (CD),,Brad Printz,,,,Performance CD,,,,,,1,1,,http://www.jwpepper.com/3254117.item#.VWc5HydUiSo,http://cdn.jwpepper.com/covers/3254117.jpg,NY
Aida,"Giuseppe Verdi, Nicholas John","John Calder, Ltd., Riverrun Press, Inc.",,,,"Guide, Libretto","English, Italian",,,,"1980, Edition Two; 1986",1,1,,,,NY
Aida,"Giuseppe Verdi, Ellen H. Bleiler",,"Dover Publications, Inc.",,,"Guide, Libretto","Italian, English",,,,1962,1,1,Libretto,http://www.amazon.com/Dover-Opera-Guide-Libretto-Series/dp/B0046ZYDL2,http://ecx.images-amazon.com/images/I/21k6onYBoaL.jpg,NY
Aida,"Giuseppe VerdiAntonio Ghislanzoni, Walter Ducloux",,"G. Schirmer, Inc.",,,Libretto,"Italian, English",,,,1963,1,1,Libretto,,,NY
Aïda,Giuseppe Verdi,,Antonio Ghislanzoni,,Piano,Score- PV,Italian,,,,English Translation by Walter Ducloux,2,2,,http://www.amazon.com/Ghislanzoni-Translation-copyright-Schirmers-Collection/dp/B001W9QY8A,http://ecx.images-amazon.com/images/I/71m7bwawzEL.jpg,NY
Aïda,Giuseppe Verdi,,Antonio Ghislanzoni,,Piano,Score- PV,Italian,,,,"G. Schirmer, Inc.; English Translation by Walter Ducloux",2,2,,http://www.amazon.com/Aida-Schirmer-Opera-Score-Editions/dp/B000V5WTJO,http://ecx.images-amazon.com/images/I/51aCBFmy5-L.jpg,NY
Aida (BOOK),Monica E. Lapenta/ Ilaria Tellatin,,,,,Children's Literature,"English, Italian, German, Russian",,,,"2009, paperback; La Ma House Publishing",1,1,,http://www.amazon.com/Aida-Giuseppe-Paramica-Monica-Lapenta/dp/8889582472,http://ecx.images-amazon.com/images/I/21T0bhjEFjL.jpg,NY
Aida (DVD),Giuseppe Verdi,,Antonio Ghislanzoni,,,Opera Performance,Italian,,,Ancient Egypt,"1992 Arena di Verona; Zajick, Pons",1,1,DVD,http://www.amazon.co.uk/Verdi-Arena-Verona-Arthaus-107253/dp/B007N0SX7W,http://ecx.images-amazon.com/images/I/71aFLKwo0JL._SL1024_.jpg,NY
Aida (DVD),Giuseppe Verdi,,Antonio Ghislanzoni,,,Opera Performance,Italian,,,Ancient Egypt,"2007 Teatro alla Scala; Chailly, Zeffirelli, Urmana, Alagna",1,1,DVD,http://www.amazon.co.uk/Aida-Teatro-Alla-Scala-Chailly/dp/B000PC1N54,http://ecx.images-amazon.com/images/I/818qUedHRaL._SL1400_.jpg,NY
Aida as told by Leontyne Price (BOOK),"Leo and Diane Dillon, Leontyne Price",,,,,Children's Book,English,,,,"1990, hardcover; Harcourt Brace & Co.",2,2,,http://www.amazon.com/Leontyne-Price-selection-Verdi-Opera/dp/B000040JDS,http://ecx.images-amazon.com/images/I/51BlfP5RkML.jpg,NY
Aida: A Record of the Life of the Opera On and Off the Stage,"Giuseppe Verdi, Clyde T. McCants",,"Macfarland & Company, Inc.",,,Guide,English,,,,2006,1,1,,http://www.amazon.com/Verdis-Aida-Record-Opera-Stage/dp/0786423285,http://ecx.images-amazon.com/images/I/51WKDCL2MDL.jpg,NY
Aida's Brothers & Sisters- Black Voices in Opera and Concert (DVD),,,,,,Documentary,,,,,1999 Pars Media; The film tells the story of classic black singing against the background of black emancipation in politics and society...,1,1,DVD,http://www.amazon.com/Aidas-Brothers-Sisters-Black-Voices/dp/B002AT462M,http://ecx.images-amazon.com/images/I/71H%2Bh8KAyZL._SL1232_.jpg,NY
Ain't That News,Traditional Spiritual,Stephen Hatfield,Boosey & Hawkes,3 part Treble,A Cappella,Spiritual,English,,Religious,,,3,3,,http://www.halleonard.com/product/viewproduct.do?itemid=48004655,http://www.halleonard.com/images/default.gif,NY
Akakomborerwa,Lee R. Kesselman,,Boosey & Hawkes,"Unison, SS",Percussion,Religious,English/Shona,,Prayer,,,1,1,,,,NY
Al Shlosha D'varim,Allan E. Naplan,,Boosey & Hawkes,SA,Piano,Folksong,"English, Hebrew",,Morality,,,1,1,,http://www.jwpepper.com/3012796.item#.VWc7_idUiSo,http://cdn.jwpepper.com/covers/3012796.gif,NY
Alberich and Friends: A Novel of Wagner's Ring Cycle,Ian Runcie,,Trafford Publishing,,,Biography,English,,,,2004,1,1,,http://bookstore.trafford.com/Products/SKU-000145708/Alberich-and-Friends.aspx,http://bookstore.trafford.com/Handlers/ResizeImageHandler.ashx?ImageUrl=%7e%2fContent%2fSite303%2fProductImages%2fSKU-000145708.gif&Width=220,NY
Alceste (DVD),Christoph Willibald Gluck,,Ranieri de' Calzabigi,,,Opera Performance,Italian,,,,"2000 Teatre Musical de Paris; Anne Sofie von Otter, Paul Groves",1,1,DVD,http://www.amazon.com/Gluck-Alceste-Gardiner-Soloists-Chatelet/dp/B000059H8J,http://ecx.images-amazon.com/images/I/51PX32VE8BL.jpg,NY
All Around,James Benninghof,,Oxford University Press,TTBB,,Carol,English,,"Christmas, Holiday",,,1,1,,http://www.jwpepper.com/All-Around/8044109.ritem#.VWc8uCdUiSo,,NY
All Beginners Please!,Various,Compiled by Douglas Robinson,Various,Unison/SAT,,Opera,English,,Operatic Choruses,,,1,1,,,,NY
"All Glory, Laud and Honor",M. Teschner,,Harold,SATB,Piano,,English,,Religious,,,0,0,,http://www.jwpepper.com/10292433.item#.VWc9RCdUiSo,http://cdn.jwpepper.com/covers/10292433.jpg,NY
"All Men Shall Honor Thee, Hallelujah",Johann Sebastian Bach,Robert Field,Theodore,SSATB,Piano,Classical,English,,Religion,Baroque,,1,1,,http://www.sheetmusicplus.com/title/all-men-shall-honor-thee-hallelujah-sheet-music/1852674,http://d29ci68ykuu27r.cloudfront.net/product/190X400/1852674.jpg,NY
All People That on Earth Do Dwell,Louis Bourgeois,Florence Jolly,Lawson-Gould,SSAATTBB,Piano,Religious,English,,Religion,,,1,1,,http://www.musicroom.com/se/id_no/0339435/details.html,,NY
All People That on Earth Do Dwell,Bach & Ravenscroft,Gustav Holst,Stainer & Bell; Lawson-Gould,SATB,Piano,,English,,Religion,,,1,1,,,,NY
All Saints,Joel Martinson,,Oxford University Press,SATB,Organ/Flute,Religious,English,,Religion,,,1,1,,,,NY
All That Hath Life & Breath Praise Ye The Lord,Rene Clausen,,Mark Foster,SATB,A,Contemporary,English,USA,Praise,,,1,1,,http://www.halleonard.com/product/viewproduct.do?itemid=35000570&subsiteid=32&,http://www.halleonard.com/common/item_gif/35000570.gif,NY
All That I Can Be,Sally K. Albrecht and Jay Althouse,,,,,Book of songs,,,,,,1,1,,http://www.alfred.com/Products/A--00-21150.aspx,http://www.alfred.com/covers/00-21150.jpg,NY
All The Bells Are Ringing,Traditional,Dorothy Christopherson,Mark Foster,SA,Piano,Religion,English,,"Christmas, Holiday",,,1,1,,,,NY
All the Pretty Little Horses,Southern Folk Tune,Scott Nathan Louis,Oxford University Press,2 part,Piano,Lullaby,English,,,,,0,0,,http://www.jwpepper.com/3700460.item#.VWc_BydUiSo,,NY
All the Pretty Little Horses,Southern Folk Tune,Douglas E. Wagner,Somerset,SSA,Piano,American Folksong,English,,Nursery,,,1,1,,http://www.jwpepper.com/1332121.item#.VWc_ICdUiSo,http://cdn.jwpepper.com/covers/1332121.jpg,NY
All the Pretty Little Horses,Traditional,Andy Beck,,2 part,piano,Folk Music/Jazz,English,,Folk Music,American Folk Song,jazz-style setting of American Folk Song,1,1,,http://www.jwpepper.com/10355944.item#.VWc_OydUiSo,http://cdn.jwpepper.com/covers/10355944.jpg,NY
All Ye Who Music Love,Badassare Donato,Norman Greyson,Bourne,SAB,Piano,Madrigal,English,,Praise,,,1,1,,http://www.jwpepper.com/1331719.item#.VWc_YSdUiSo,,NY
All Ye Who Music Love,Baldassare Donato,Russell Robinson,Alfred,SSA,A,Madrigal,English,,Music,,,7,7,,http://www.jwpepper.com/3285400.item#.VWc_cSdUiSo,,NY
All Ye Who Music Love,Baldassare Donato,Victoria Meredith,Neil A. Kjos,SATB,Piano,Madrigal,English,,Praise,,,1,1,,http://www.jwpepper.com/1860543.item#.VWc_iidUiSo,,NY
Alleluia,Emma Lou Diermer,,Carl Fischer,SSA,A,Madrigal,English,,Music,,,2,2,,http://www.jwpepper.com/4801163.item#.VWc_pCdUiSo,http://cdn.jwpepper.com/covers/4801163.jpg,NY
Alleluia,Randall Thompson,,Harold,SATB,A,Religious,English,,Halelujah,,,7,7,,http://www.halleonard.com/product/viewproduct.do?itemid=35000667&keywords=SHAWNEE&subsiteid=1&,http://www.halleonard.com/common/item_gif/35000667.gif,NY
Alleluia,Jay Althouse,,Harold,SATB,A,Contemporary,English,,Religious,,,1,1,,http://www.amazon.com/Alleluia-SATB-cappella-Jay-Althouse/dp/B003AG306W,http://ecx.images-amazon.com/images/I/31qXFKlQXoL.jpg,NY
Alleluia Canon,"Mozart, W.A.","Moore, Donald",Traditional,2-part,,Classical,English,,Singing,,,6,6,,http://www.jwpepper.com/3071099.item#.VWdAFCdUiSo,http://cdn.jwpepper.com/covers/3071099.jpg,NY
Alleluia Fanfare,Sally K. Albrecht,,Alfred,SATB,A,Contemporary,English,,Religious,,,1,1,,http://www.alfred.com/Products/Alleluia-Fanfare--00-21064.aspx,,NY
"Alleluia from Veni, Sancte Spiritus",Wolfgang Amadeus Mozart,Robert Ross,Theodore,SATB,Piano,Classical,English,,Religious,,,1,1,,http://www.sheetmusicplus.com/title/alleluia-from-veni-sancte-spiritus-sheet-music/16297917,http://1-ps.googleusercontent.com/xk/WRZiSDykH9X0LRDFErNabFFh40/www.sheetmusicplus.com/d29ci68ykuu27r.cloudfront.net/product/190X400/16297917.jpg.pagespeed.ce.Ba3R79dz7_dxKOWioyYf.jpg,NY
Alleluia Round,William Boyce,Richard Proulx,GIA,SSA,,Classical,Latin,,Alleluia,,,2,2,,,,NY
"Alleluia, O Come And Praise the Lord",Johann Sebastian Bach,Janet Hill,Choristers,SA,Piano,Classical,English,,Praise,,,1,1,,http://www.choristersguild.org/store/cga174-alleluia-o-come-and-praise-the-lord/462/,http://www.choristersguild.org/4DACTION/WebsGetImage/NoScaleInventory/462,NY
Alleluia: Vom Himmel Hoch,Gregg Smith,,Music,SATB,Brass or Organ,Religious,English/German,,Praise,,,1,1,,http://www.sheetmusicplus.com/title/alleluia-vom-himmel-hoch-sheet-music/1653313,,NY
Alleluja,Wolfgang Amadeus Mozart,Wallingford Riegger,Harold,SA,Piano,Classical,Latin,,Religious,,,0,0,,,,NY
"Alleluja from the Motet ""Exsultate, jubilate""",Wolfgang Amadeus Mozart,Ruth Artman,Hal Leonard,SA,Piano,Religious,Latin,,,,,1,1,,http://www.halleonard.com/product/viewproduct.do?itemid=35000734,http://www.halleonard.com/common/item_gif/99991630.gif,NY
Almighty God of Our Fathers,Will James,,Mills Music,SATB,A,Religion,English,,Praise,,,1,1,,,,NY
Alouette,Folk Song,Andy Beck,,2 part,,,French/English,,,,,1,1,,http://www.jwpepper.com/10088283.item#.VWdByCdUiSo,http://cdn.jwpepper.com/covers/10088283.jpg,NY
Alphaduet,James Benninghof,,Oxford University Press,"S, SA",Piano,Children's,English,,Alphabet,,,1,1,,http://www.jwpepper.com/Alphaduet/3272648.item#.VWdB3SdUiSo,,NY
Always Friends,Roger Emerson,,Hal Leonard,2 part,Piano,Contemporary,English,,Friendship,,,5,5,,http://www.jwpepper.com/3295621.item#.VWdB7idUiSo,http://cdn.jwpepper.com/covers/3295621.gif,NY
Alzira (DVD),Giuseppe Verdi,,Salvator Cammarano,,,Opera Performance,Italian,,,,2012 Teatro Regio di Parma,1,1,DVD,http://www.amazon.co.uk/Verdi-Alzira-Teatro-February-regions/dp/B00A8MGJ1O,http://ecx.images-amazon.com/images/I/51A9uoT8%2B7L.jpg,NY
Amadeus (DVD),"Peter Shaffer, Milos Forman",,,,,Film,English,,,,1997 Warner Home Video; Tom Hulce,1,0,DVD,http://www.amazon.com/Amadeus-F-Murray-Abraham/dp/6304712936,http://ecx.images-amazon.com/images/I/51BY7HME5JL.jpg,NY
Amani Utupe,Patsy Ford Sims,,,2-part,,African-style,"English, Swahili",,,,"Here's an African-style piece which includes a combination of English and Swahili text: ""As we travel down this weary road, amani utupe na ustawi."" Outstanding SoundTrax has an African feel.",1,1,Octavo,https://www.jwpepper.com/3188026.item#.VWdDTCdUiSo,https://d1qnq7dh6t9tyz.cloudfront.net/covers/3188026.jpg,NY
"Amani, A Song for Peace",Jim & Jacques Papoulis,Francisco J. Nunez,,SSA,Piano,,French,,Peace,,,1,1,,http://www.jwpepper.com/3301393.item#.VWdDeydUiSo,http://cdn.jwpepper.com/covers/3301393.gif,NY
Amazing Grace,Traditional,"Nunez, Francisco","Newton, John",Unison/Solo/SA,Piano,Religious/Folksong,English,American,Hope,,,3,3,,http://www.jwpepper.com/1269885.item#.VWdDwSdUiSo,http://cdn.jwpepper.com/covers/1269885.jpg,NY
Amazing Grace (SAB),Traditional,Jay Althouse,"Newton, John",SAB,Piano,Religious,English,,Hope,,,1,1,,http://www.jwpepper.com/1860683.item#.VWdD1ydUiSo,http://cdn.jwpepper.com/covers/1860683.jpg,NY
Amazing Grace (SATB),Traditional,Jay Althouse,"Newton, John",SATB,Piano,Religious,English,,Hope,,,1,1,,http://www.jwpepper.com/1860683.item#.VWdD6ydUiSo,http://cdn.jwpepper.com/covers/1860683.jpg,NY
Amazing Grace (SSAA),Traditional,Jay Althouse,"Newton, John",SSAA,Piano,Religious,English,,Hope,,,1,1,,http://www.jwpepper.com/Amazing-Grace/3295912.item#.VWdEACdUiSo,http://cdn.jwpepper.com/covers/3295912.jpg,NY
Amazing Grace (TTBB),Traditional,Jay Althouse,"Newton, John",TTBB,Piano,Religious,English,,Hope,,,1,1,,http://www.jwpepper.com/3295913.item#.VWdEEydUiSo,http://cdn.jwpepper.com/covers/3295913.jpg,NY
"Amen, Lob Und Ehre (Amen, Praise and Honor)",Georg Philipp Telemann,Joan Catoni Conlon,Lawson-Gould,SAB,Piano,Religious,German,,God,,,1,1,,http://www.jwpepper.com/1484104.item#.VWdEXidUiSo,,NY
"America, Of Thee I Sing",Mary & George L.O. Donnelly,George L.O. Strid,Alfred,"SA, SAB",Piano,Contemporary,English,,Patriotic,,,0,0,,http://www.jwpepper.com/1860709.item#.VWdNPSdUiSo,http://cdn.jwpepper.com/covers/1860709.jpg,NY
American Born,Jill & Michael Gallina,,Shawnee,"Unison, SA",Piano,Contemporary,English,,Goerge M. Cohan,,,0,0,,,,NY
American Pop Forever: Five Decades of Rock n Roll Gold,Multiple Composers,Mark Brymer,Hal Leonard,,,,English,,,,"2 singer's editions, 1 director's score",3,3,,,,NY
Andre Previn- A Bridge Between Two Worlds (DVD),,,,,,Documentary,,,,,"2008; A Film by Birnbaum & Peter Stephan Jungk; Andre Previn, Mia Farrow, Renee Fleming, Anne-sophie Mutter, tom Stoppard, David Finik",1,1,DVD,http://www.amazon.com/Andre-Previn-Bridge-Between-Worlds/dp/B003UIGZLW,http://ecx.images-amazon.com/images/I/71HwLJRFjiL._SL1024_.jpg,NY
Andrea Chenier,Umberto Giordano,,Luigi Illica,,Piano,Score- PV,Italian,,,,1959 Casa Musicale Sonzogno; Vocal Score by Amintore Galli' English Version by Tom Hammond,2,2,,http://www.amazon.com/Andrea-Chenier-U-Giordano/dp/B000FVR5G6,http://ecx.images-amazon.com/images/I/71zu3vJ7kKL._SL1300_.jpg,NY
Andrea Chenier (Blue-Ray),Umberto Giodano,,Luigi Illica,,,Opera Performance,Italian,,,,2011 Bregenzer Festspiele,1,1,,http://www.amazon.de/Giordano-Andrea-Chenier-Bregenzer-Festspiele/dp/B005H7WDWO,http://ecx.images-amazon.com/images/I/81UPEXm%2BwqL._SL1500_.jpg,NY
Andrea Chenier (DVD),Umberto Giordano,,Luigi Illica,,,Opera Performance,Italian,,,,"1985 Royal Opera House Covent Garden; Placido Domingo, Anna Tomowa-Sintow",1,1,DVD,http://www.amazon.com/Giordano-Andrea-Chenier-Domingo-Tomowa-Sintov/dp/B0000DI86O,http://ecx.images-amazon.com/images/I/4163TZX6A6L.jpg,NY
Andrea Chenier (DVD),Umberto Giordano,,Luigi Illlica,,,Opera Performance,Italian,,,,"1961 NHK Symphony Orchestra; Renata Tebaldi, Mario del Monaco",1,1,DVD,http://www.amazon.com/Giordano-Andrea-Chenier-Renata-Tebaldi/dp/B000PC6EOE,http://ecx.images-amazon.com/images/I/71KbJg1nTSL._SL1095_.jpg,NY
Andrea Chenier (DVD),Umberto Giordano,,Luigi Illica,,,Opera Performance,Italian,,,,"1985 Teatro alla Scala; Jose Carreras, Nella Verri",1,1,DVD,http://www.hpbmarketplace.com/Andrea-Chenier-Teatro-alla-Scala/movie/100002234,http://www2.alibris-static.com/andrea-chenier-teatro-alla-scala/cover/u23661ax14s.jpg,NY
Angela Gheorghiu Live from Covent Garden (DVD),Various,,,,,Concert DVD,,,,,"Covent Garden; Angela Gheorghiu; Orchestra of the Royal Opera House, Covent Garden; Conducted by Ion Marin",1,1,DVD,http://www.amazon.com/Angela-Gheorghiu-Live-Covent-Garden/dp/B000066C6L,http://ecx.images-amazon.com/images/I/41KD2daRujL._SX425_.jpg,NY
Angels Led to Bethlehem,Traditional Czech Carol,Dolores Hruby,Mark Foster,SA,Piano,Carol,"English, Czech",,"Christmas, Holiday",,,1,1,,http://www.jwpepper.com/3257771.item#.VWdPWSdUiSo,,NY
Angelus ad Pastorus ait,jan Sweelinck,Patrick M. Liebergen,Heritage,SSATB,Continuo,Religious,Latin,,"Christmas, Holiday",,,1,1,,,,NY
Angelus Domini,Pawel Lukaszewski,,Roger Dean,SATB,A,Religious,Latin,,Virgin Mary,,,1,1,,http://www.jwpepper.com/10011465.item#.VWdP9CdUiSo,http://cdn.jwpepper.com/covers/10011465.jpg,NY
Angelus Domini,Orlando di Lasso,Judith Otten,Unicorn,SSATB,A,Classical,Latin,,Easter,Renaissance,,1,1,,http://www.jwpepper.com/1407378.item#.VWdQIidUiSo,,NY
Animals A-Comin,Traditional,Jim Swofford,Alfred,,,,English,,,,,1,1,,http://www.jwpepper.com/3295915.item#.VWdQWydUiSo,,NY
Anna Bolena (DVD),Gaetano Donizetti,,Felice Romani,,,Opera Performance,Italian,,,,"2006 Teatro Donizetti; Dimitra Theodossiou, Sofia Soloviy, Riccardo Zanellato",2,2,DVD,http://www.amazon.co.uk/Anna-Bolena-Donizetti-DVD-NTSC/dp/B000MTEGOA,http://ecx.images-amazon.com/images/I/81J9xIzn89L._SL1024_.jpg,NY
